630000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=20 wr2=00 q1=00 q2=00 | rom=d7 tick=1 tx_state=000
650000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=21 wr2=00 q1=00 q2=00 | rom=da tick=0 tx_state=000
670000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=22 wr2=00 q1=00 q2=00 | rom=dc tick=0 tx_state=000
690000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=23 wr2=00 q1=00 q2=00 | rom=de tick=0 tx_state=000
710000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=24 wr2=00 q1=00 q2=00 | rom=e0 tick=1 tx_state=000
730000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=25 wr2=00 q1=00 q2=00 | rom=e2 tick=0 tx_state=000
750000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=26 wr2=00 q1=00 q2=00 | rom=e4 tick=0 tx_state=000
770000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=27 wr2=00 q1=00 q2=00 | rom=e6 tick=0 tx_state=000
790000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=28 wr2=00 q1=00 q2=00 | rom=e8 tick=1 tx_state=000
810000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=29 wr2=00 q1=00 q2=00 | rom=ea tick=0 tx_state=000
830000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=2a wr2=00 q1=00 q2=00 | rom=eb tick=0 tx_state=000
850000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=2b wr2=00 q1=00 q2=00 | rom=ed tick=0 tx_state=000
870000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=2c wr2=00 q1=00 q2=00 | rom=ee tick=1 tx_state=000
890000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=2d wr2=00 q1=00 q2=00 | rom=f0 tick=0 tx_state=000
910000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=2e wr2=00 q1=00 q2=00 | rom=f1 tick=0 tx_state=000
930000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=2f wr2=00 q1=00 q2=00 | rom=f3 tick=0 tx_state=000
950000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=30 wr2=00 q1=00 q2=00 | rom=f4 tick=1 tx_state=000
970000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=31 wr2=00 q1=00 q2=00 | rom=f5 tick=0 tx_state=000
990000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=32 wr2=00 q1=00 q2=00 | rom=f6 tick=0 tx_state=000
1010000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=33 wr2=00 q1=00 q2=00 | rom=f8 tick=0 tx_state=000
1030000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=34 wr2=00 q1=00 q2=00 | rom=f9 tick=1 tx_state=000
1050000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=35 wr2=00 q1=00 q2=00 | rom=fa tick=0 tx_state=000
1070000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=36 wr2=00 q1=00 q2=00 | rom=fa tick=0 tx_state=000
1090000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=37 wr2=00 q1=00 q2=00 | rom=fb tick=0 tx_state=000
1110000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=38 wr2=00 q1=00 q2=00 | rom=fc tick=1 tx_state=000
1130000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=39 wr2=00 q1=00 q2=00 | rom=fd tick=0 tx_state=000
1150000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=3a wr2=00 q1=00 q2=00 | rom=fd tick=0 tx_state=000
1170000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=3b wr2=00 q1=00 q2=00 | rom=fe tick=0 tx_state=000
1190000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=3c wr2=00 q1=00 q2=00 | rom=fe tick=1 tx_state=000
1210000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=3d wr2=00 q1=00 q2=00 | rom=fe tick=0 tx_state=000
1230000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=3e wr2=00 q1=00 q2=00 | rom=ff tick=0 tx_state=000
1250000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=3f wr2=00 q1=00 q2=00 | rom=ff tick=0 tx_state=000
1270000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=40 wr2=00 q1=00 q2=00 | rom=ff tick=1 tx_state=000
1290000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=41 wr2=00 q1=00 q2=00 | rom=ff tick=0 tx_state=000
1310000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=42 wr2=00 q1=00 q2=00 | rom=ff tick=0 tx_state=000
1330000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=43 wr2=00 q1=00 q2=00 | rom=ff tick=0 tx_state=000
1350000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=44 wr2=00 q1=00 q2=00 | rom=ff tick=1 tx_state=000
1370000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=45 wr2=00 q1=00 q2=00 | rom=fe tick=0 tx_state=000
1390000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=46 wr2=00 q1=00 q2=00 | rom=fe tick=0 tx_state=000
1410000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=47 wr2=00 q1=00 q2=00 | rom=fe tick=0 tx_state=000
1430000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=48 wr2=00 q1=00 q2=00 | rom=fd tick=1 tx_state=000
1450000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=49 wr2=00 q1=00 q2=00 | rom=fd tick=0 tx_state=000
1470000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=4a wr2=00 q1=00 q2=00 | rom=fc tick=0 tx_state=000
1490000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=4b wr2=00 q1=00 q2=00 | rom=fb tick=0 tx_state=000
1510000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=4c wr2=00 q1=00 q2=00 | rom=fa tick=1 tx_state=000
1530000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=4d wr2=00 q1=00 q2=00 | rom=fa tick=0 tx_state=000
1550000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=4e wr2=00 q1=00 q2=00 | rom=f9 tick=0 tx_state=000
1570000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=4f wr2=00 q1=00 q2=00 | rom=f8 tick=0 tx_state=000
1590000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=50 wr2=00 q1=00 q2=00 | rom=f6 tick=1 tx_state=000
1610000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=51 wr2=00 q1=00 q2=00 | rom=f5 tick=0 tx_state=000
1630000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=52 wr2=00 q1=00 q2=00 | rom=f4 tick=0 tx_state=000
1650000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=53 wr2=00 q1=00 q2=00 | rom=f3 tick=0 tx_state=000
1670000 ns | data_tx=00 start_tx=0 done_tx=0 | pp_state=001 rden1=0 rden2=0 rd1=00 rd2=00 wr1=54 wr2=00 q1=00 q2=00 | rom=f1 tick=1 tx_state=000
