idx,time_ns,val,delta,note
266,288310000,228,2
267,289270000,230,2
268,290230000,232,2
269,291190000,234,2
270,292150000,235,1
271,293110000,237,2
272,294070000,238,1
273,295030000,240,2
274,295990000,241,1
275,296950000,243,2
276,297910000,244,1
277,298870000,245,1
278,299830000,246,1
279,300790000,248,2
280,301750000,249,1
281,302710000,250,1
282,304630000,251,1
283,305590000,252,1
284,306550000,253,1
285,308470000,254,1
286,311350000,255,1
287,318070000,254,-1
288,320950000,253,-1
289,322870000,252,-1
290,323830000,251,-1
291,324790000,250,-1
292,326710000,249,-1
293,327670000,248,-1
294,328630000,246,-2
295,329590000,245,-1
296,330550000,244,-1
297,331510000,243,-1
298,332470000,241,-2
299,333430000,240,-1
300,334390000,238,-2
301,335350000,237,-1
302,336310000,235,-2
303,337270000,234,-1
304,338230000,232,-2
305,339190000,230,-2
306,340150000,228,-2
307,341110000,226,-2
308,342070000,224,-2
309,343030000,222,-2
310,343990000,220,-2
311,344950000,218,-2
312,345910000,215,-3
313,346870000,213,-2
314,347830000,211,-2
315,348790000,208,-3
316,349750000,206,-2
317,350710000,203,-3
318,351670000,201,-2
319,352630000,198,-3
320,353590000,196,-2
321,354550000,193,-3
322,355510000,190,-3
323,356470000,188,-2
324,357430000,185,-3
325,358390000,182,-3
326,359350000,179,-3
327,360310000,176,-3
328,361270000,173,-3
329,362230000,170,-3
330,363190000,167,-3
331,364150000,165,-2
332,365110000,162,-3
333,366070000,158,-4
334,367030000,155,-3
335,367990000,152,-3
336,368950000,149,-3
337,369910000,146,-3
338,370870000,143,-3
339,371830000,140,-3
340,372790000,137,-3
341,373750000,134,-3
342,374710000,131,-3
343,375670000,128,-3
344,376630000,124,-4
345,377590000,121,-3
346,378550000,118,-3
347,379510000,115,-3
348,380470000,112,-3
349,381430000,109,-3
350,382390000,106,-3
351,383350000,103,-3
352,384310000,100,-3
353,385270000,97,-3
354,386230000,93,-4
355,387190000,90,-3
356,388150000,88,-2
357,389110000,85,-3
358,390070000,82,-3
359,391030000,79,-3
360,391990000,76,-3
361,392950000,73,-3
362,393910000,70,-3
363,394870000,67,-3
364,395830000,65,-2
